date,2020-07-05,2020-07-05,2020-07-05
BE,Industrials,NYQ,1295468160.0
BEAM,Healthcare,NMS,1486374912.0
BEAT,Healthcare,NMS,1555637120.0
BECN,Industrials,NMS,1767605376.0
BEDU,Consumer Defensive,NYQ,949926144.0
BELF A,,,
BELF B,,,
BEN,Financial Services,NYQ,10094336000.0
BEP,Utilities,NYQ,8853189632.0
BEP PRA,,,
BERY,Consumer Cyclical,NYQ,5966474752.0
BEST,Industrials,NYQ,1778088448.0
BETZ,,,
BF A,,,
BF B,,,
BFAM,Consumer Cyclical,NYQ,6926430720.0
BFC,Financial Services,NMS,482505504.0
BFEB,,,
BFIN,Financial Services,NMS,123346856.0
BFIT,,,
BFK,Financial Services,NYQ,598497856.0
BFO,Financial Services,NYQ,78636248.0
BFOR,,,
BFRA,Healthcare,NCM,146705648.0
BFS,Real Estate,NYQ,752608000.0
BFS PRD,,,
BFS PRE,,,
BFST,Financial Services,NMS,293680928.0
BFY,Financial Services,NYQ,69218040.0
BFYT,Healthcare,NGM,310801888.0
BFZ,Financial Services,NYQ,415915072.0
BG,Consumer Defensive,NYQ,5654767104.0
BGB,Financial Services,NYQ,506494304.0
BGCP,Financial Services,NMS,936739072.0
BGFV,Consumer Cyclical,NMS,41477000.0
BGG,Industrials,NYQ,51793272.0
BGH,,,
BGI,,,
BGIO,Financial Services,NYQ,183158176.0
BGNE,Healthcare,NMS,15651642368.0
BGR,Financial Services,NYQ,212356128.0
BGRN,,,
BGS,Consumer Defensive,NYQ,1561258752.0
BGSF,Industrials,NYQ,105543680.0
BGT,Financial Services,NYQ,249009136.0
BGX,Financial Services,NYQ,153637296.0
BGY,Financial Services,NYQ,558856256.0
BH,Consumer Cyclical,NYQ,204402048.0
BH A,,,
BHAT,Communication Services,NCM,47791896.0
BHB,Financial Services,ASE,315334112.0
BHC,Healthcare,NYQ,6502557184.0
BHE,Technology,NYQ,744701120.0
BHF,Financial Services,NMS,2510327040.0
BHFA L,,,
BHFA O,,,
BHFA P,,,
BHK,Financial Services,NYQ,833836672.0
BHLB,Financial Services,NYQ,503862432.0
BHP,Basic Materials,NYQ,125819396096.0
BHR,,,
BHR PRB,,,
BHR PRD,,,
BHTG,Industrials,NCM,33130870.0
BHV,Financial Services,NYQ,24806194.0
BHVN,Healthcare,NYQ,4167492352.0
BIB,,,
BIBL,,,
BICK,,,
BIDU,Communication Services,NMS,42497318912.0
BIF,Financial Services,NYQ,955365376.0
